/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'left', None)
 -- forward : 0.68
 -- right : 0.72
 -- None : -2.21
 -- left : 0.56

('left', 'green', 'forward', 'left')
 -- forward : 0.22
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.82
 -- left : 0.00

('right', 'green', 'left', 'right')
 -- forward : 0.40
 -- right : 0.00
 -- None : -2.13
 -- left : 0.00

('left', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- right : -10.45
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', None)
 -- forward : -4.90
 -- right : 0.00
 -- None : 0.00
 -- left : -30.07

('left', 'green', None, 'right')
 -- forward : 0.58
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'left')
 -- forward : -19.83
 -- right : 0.11
 -- None : 0.00
 -- left : -5.19

('left', 'red', 'right', 'left')
 -- forward : 0.00
 -- right : -0.05
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', None)
 -- forward : 0.00
 -- right : 2.04
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'right')
 -- forward : 0.00
 -- right : 0.49
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'left', None)
 -- forward : 1.06
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.99
 -- left : 0.00

('right', 'red', 'left', None)
 -- forward : -8.60
 -- right : 0.00
 -- None : 0.86
 -- left : -7.52

('forward', 'red', 'forward', None)
 -- forward : 0.00
 -- right : 0.67
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, 'left')
 -- forward : 1.10
 -- right : 0.00
 -- None : -2.83
 -- left : 0.00

('right', 'red', 'right', None)
 -- forward : -7.77
 -- right : 1.76
 -- None : -0.34
 -- left : 0.00

('forward', 'green', 'left', 'left')
 -- forward : 1.63
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, None)
 -- forward : -9.32
 -- right : 1.99
 -- None : 0.09
 -- left : -7.16

('forward', 'green', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.30
 -- left : 0.00

('forward', 'green', None, 'forward')
 -- forward : 2.21
 -- right : 0.00
 -- None : -2.36
 -- left : 0.00

('forward', 'red', None, None)
 -- forward : -9.35
 -- right : 0.85
 -- None : 2.40
 -- left : -8.73

('left', 'green', None, None)
 -- forward : 0.83
 -- right : 0.34
 -- None : -2.98
 -- left : 1.41

('right', 'green', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.27
 -- left : 0.43

('left', 'green', 'right', None)
 -- forward : 0.00
 -- right : 0.70
 -- None : -2.07
 -- left : 0.00

('forward', 'red', 'forward', 'right')
 -- forward : -4.51
 -- right : 0.73
 -- None : 0.00
 -- left : -4.62

('left', 'red', 'left', 'left')
 -- forward : -4.68
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.66
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'forward', None)
 -- forward : 0.13
 -- right : 0.47
 -- None : -2.38
 -- left : 0.00

('forward', 'red', None, 'forward')
 -- forward : 0.00
 -- right : -14.95
 -- None : 1.73
 -- left : 0.00

('forward', 'green', 'right', None)
 -- forward : 0.43
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.15
 -- left : 0.00

('right', 'red', 'left', 'right')
 -- forward : 0.00
 -- right : 0.92
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, 'forward')
 -- forward : -19.54
 -- right : 0.00
 -- None : 0.37
 -- left : -20.36

('left', 'red', 'left', None)
 -- forward : -24.20
 -- right : 0.00
 -- None : 2.31
 -- left : -9.61

('forward', 'red', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -4.66

('forward', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- right : -9.65
 -- None : 1.84
 -- left : -20.11

('left', 'red', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.62
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, 'left')
 -- forward : 1.42
 -- right : 0.00
 -- None : -3.19
 -- left : 0.00

('forward', 'green', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.24
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', 'forward')
 -- forward : -20.43
 -- right : -10.08
 -- None : 1.06
